# !!! This file is auto-generated !!!
#
# Biome IDs returned from the cubiomes library.
#
# License: MIT
#
# Cubiomes ID        = Biome name
# -------------------------------------------------------------
0                    = minecraft:ocean
1                    = minecraft:plains
2                    = minecraft:desert
3                    = minecraft:extreme_hills
4                    = minecraft:forest
5                    = minecraft:taiga
6                    = minecraft:swampland
7                    = minecraft:river
8                    = minecraft:hell
9                    = minecraft:the_end
10                   = minecraft:frozen_ocean
11                   = minecraft:frozen_river
12                   = minecraft:ice_plains
13                   = minecraft:ice_mountains
14                   = minecraft:mushroom_island
15                   = minecraft:mushroom_island_shore
16                   = minecraft:beach
17                   = minecraft:desert_hills
18                   = minecraft:forest_hills
19                   = minecraft:taiga_hills
20                   = minecraft:extreme_hills_edge
21                   = minecraft:jungle
22                   = minecraft:jungle_hills
23                   = minecraft:jungle_edge
24                   = minecraft:deep_ocean
25                   = minecraft:stone_beach
26                   = minecraft:cold_beach
27                   = minecraft:birch_forest
28                   = minecraft:birch_forest_hills
29                   = minecraft:roofed_forest
30                   = minecraft:cold_taiga
31                   = minecraft:cold_taiga_hills
32                   = minecraft:mega_taiga
33                   = minecraft:mega_taiga_hills
34                   = minecraft:extreme_hills_plus_trees
35                   = minecraft:savanna
36                   = minecraft:savanna_plateau
37                   = minecraft:mesa
38                   = minecraft:mesa_plateau
39                   = minecraft:mesa_plateau_stone
44                   = minecraft:warm_ocean
45                   = minecraft:lukewarm_ocean
46                   = minecraft:cold_ocean
47                   = minecraft:deep_warm_ocean
48                   = minecraft:deep_lukewarm_ocean
49                   = minecraft:deep_cold_ocean
50                   = minecraft:deep_frozen_ocean
129                  = minecraft:sunflower_plains
130                  = minecraft:desert_mutated
131                  = minecraft:extreme_hills_mutated
132                  = minecraft:flower_forest
133                  = minecraft:taiga_mutated
134                  = minecraft:swampland_mutated
140                  = minecraft:ice_plains_spikes
149                  = minecraft:jungle_mutated
151                  = minecraft:jungle_edge_mutated
155                  = minecraft:birch_forest_mutated
156                  = minecraft:birch_forest_hills_mutated
157                  = minecraft:roofed_forest_mutated
158                  = minecraft:cold_taiga_mutated
160                  = minecraft:redwood_taiga_mutated
161                  = minecraft:redwood_taiga_hills_mutated
162                  = minecraft:extreme_hills_plus_trees_mutated
163                  = minecraft:savanna_mutated
164                  = minecraft:savanna_plateau_mutated
165                  = minecraft:mesa_bryce
166                  = minecraft:mesa_plateau_mutated
167                  = minecraft:mesa_plateau_stone_mutated
168                  = minecraft:bamboo_jungle
169                  = minecraft:bamboo_jungle_hills
170                  = minecraft:soulsand_valley
171                  = minecraft:crimson_forest
172                  = minecraft:warped_forest
173                  = minecraft:basalt_deltas
174                  = minecraft:dripstone_caves
175                  = minecraft:lush_caves
177                  = minecraft:meadow
178                  = minecraft:grove
179                  = minecraft:snowy_slopes
180                  = minecraft:jagged_peaks
181                  = minecraft:frozen_peaks
182                  = minecraft:stony_peaks
183                  = minecraft:deep_dark
184                  = minecraft:mangrove_swamp
185                  = minecraft:cherry_groves
186                  = minecraft:pale_garden
